labels,text,predicates,subj/obj,triple_A,triple_B,triple_C,triple_D
hyperparameters,"During training , we use RM - SProp with an initial learning rate of 1 10 ?4 .","[('During', (0, 1)), ('use', (4, 5)), ('with', (8, 9)), ('of', (13, 14))]","[('training', (1, 2)), ('RM - SProp', (5, 8)), ('initial learning rate', (10, 13)), ('1 10 ?4', (14, 17))]",[],[],[],[]
hyperparameters,We set the momentum to be 0 ( adopted from ) and the weight decay to be 1 10 ?5 .,"[('set', (1, 2)), ('to be', (4, 6)), ('to be', (15, 17))]","[('momentum', (3, 4)), ('0', (6, 7)), ('weight decay', (13, 15)), ('1 10 ?5', (17, 20))]",[],[],[],[]
hyperparameters,"We train for 240 epoches , and the learning rate is reduced to 1 10 ?5 and 1 10 ? 6 after 80 and 160 epoches .","[('train for', (1, 3)), ('reduced to', (11, 13)), ('after', (21, 22))]","[('240 epoches', (3, 5)), ('learning rate', (8, 10)), ('1 10 ?5 and 1 10 ? 6', (13, 21)), ('80 and 160 epoches', (22, 26))]",[],[],[],[]
hyperparameters,"Data augmentation is performed with random rotation ( 50 ) , translation ( 25 px ) , flipping ( 50 % ) , and rescaling ( 15 % ) .","[('performed with', (3, 5))]","[('Data augmentation', (0, 2)), ('random rotation ( 50 )', (5, 10)), ('translation ( 25 px )', (11, 16)), ('flipping ( 50 % )', (17, 22)), ('rescaling ( 15 % )', (24, 29))]",[],[],[],[]
hyperparameters,"Random Gaussian blur , noise and occlusion are also used .",[],"[('Random Gaussian blur', (0, 3)), ('noise and occlusion', (4, 7))]",[],[],[],[]
results,"14 . Our approach outperforms previous state - of - the - art by a significant margin , especially on the failure rate .","[('by', (13, 14)), ('especially on', (18, 20))]","[('Our approach', (2, 4)), ('outperforms', (4, 5)), ('previous state - of - the - art', (5, 13)), ('significant margin', (15, 17)), ('failure rate', (21, 23))]",[],[],[],[]
experiments,We are able to reduce the failure rate measured at 10 % NME from 3.73 % to 0.99 % .,"[('measured at', (8, 10)), ('from', (13, 14)), ('to', (16, 17))]","[('reduce', (4, 5)), ('failure rate', (6, 8)), ('10 % NME', (10, 13)), ('3.73 %', (14, 16)), ('0.99 %', (17, 19))]",[],[],[],[]
results,Our performance on the COFW shows the robustness of our approach against faces with large pose and heavy occlusion .,"[('on', (2, 3)), ('shows', (5, 6)), ('of', (8, 9)), ('against', (11, 12)), ('with', (13, 14))]","[('COFW', (4, 5)), ('robustness', (7, 8)), ('our approach', (9, 11)), ('faces', (12, 13)), ('large pose and heavy occlusion', (14, 19))]",[],[],[],[]
results,"Our method is able to achieve the state - of - the - art performance on the 300W testing dataset , see .","[('able to achieve', (3, 6)), ('on', (15, 16))]","[('Our', (0, 1)), ('state - of - the - art performance', (7, 15)), ('300W testing dataset', (17, 20))]",[],[],[],[]
results,"For the challenge subset ( iBug dataset ) , we are able to outperform","[('For', (0, 1)), ('able to', (11, 13))]","[('challenge subset ( iBug dataset )', (2, 8))]",[],[],[],[]
results,"Our method again achieves the best results on the WFLW dataset in , which is significantly more difficult than COFW and 300W ( see for visualizations ) .","[('achieves', (3, 4)), ('on', (7, 8)), ('than', (18, 19))]","[('Our method', (0, 2)), ('best results', (5, 7)), ('WFLW dataset', (9, 11)), ('significantly more difficult', (15, 18)), ('COFW and 300W', (19, 22))]",[],[],[],[]
results,On every subset we outperform the previous state - of - the - art ap - :,"[('On', (0, 1))]","[('every subset', (1, 3)), ('outperform', (4, 5)), ('previous state - of - the - art', (6, 14))]",[],[],[],[]
results,We are also able to reduce the failure rate and increase the AUC dramatically and hence improving the overall localization quality significantly .,[],"[('reduce', (5, 6)), ('failure rate', (7, 9)), ('increase', (10, 11)), ('AUC', (12, 13)), ('dramatically', (13, 14)), ('improving', (16, 17)), ('overall localization quality', (18, 21)), ('significantly', (21, 22))]",[],[],[],[]
results,"All in all , our approach fails on only 2.84 % of all images , more than a two times improvement compared with 7.6 .","[('on', (7, 8)), ('of', (11, 12))]","[('our approach', (4, 6)), ('fails', (6, 7)), ('only 2.84 %', (8, 11)), ('all images', (12, 14))]",[],[],[],[]
results,Note the baseline model ( model trained with MSE ) underperforms the state - of - theart .,"[('Note', (0, 1))]","[('baseline model ( model trained', (2, 7)), ('MSE )', (8, 10)), ('underperforms', (10, 11)), ('state - of - theart', (12, 17))]",[],[],[],[]
results,"To compare with a naive weight mask without focus on hard negative pixels , we introduced a baseline weight map W M base =? W + 1 , where W = 10 . The major contribution comes from Adaptive Wing loss , which improves the benchmark by 0.74 % .","[('compare with', (1, 3)), ('without focus on', (7, 10)), ('introduced', (15, 16)), ('where', (28, 29)), ('improves', (43, 44)), ('by', (46, 47))]","[('naive weight mask', (4, 7)), ('hard negative pixels', (10, 13)), ('baseline weight map W M base =? W + 1', (17, 27)), ('Adaptive Wing loss', (38, 41)), ('benchmark', (45, 46)), ('0.74 %', (47, 49))]",[],[],[],[]
results,"All other modules contributed incrementally to the localization performance , our Weighted Loss Map improves 0.25 % , boundary prediction and coordinates encoding are able to contribute another 0.09 % .","[('contributed', (3, 4)), ('improves', (14, 15)), ('able to contribute', (24, 27))]","[('All other modules', (0, 3)), ('incrementally', (4, 5)), ('localization performance', (7, 9)), ('our Weighted Loss Map', (10, 14)), ('0.25 %', (15, 17)), ('boundary prediction and coordinates encoding', (18, 23)), ('another', (27, 28)), ('0.09 %', (28, 30))]",[],[],[],[]
results,"Our proposed Adaptive Wing loss significantly boosts performance compared with MSE , which proves the general applicability of the proposed Adaptive Wing loss on more heatmap regression tasks .","[('compared with', (8, 10))]","[('Our proposed Adaptive Wing loss', (0, 5)), ('significantly boosts', (5, 7)), ('performance', (7, 8)), ('MSE', (10, 11))]",[],[],[],[]
results,"Even with only one HG block , our approach still outperforms previous state - of - the - arts in all datasets except the common subset and the full dataset of 300W .","[('in', (19, 20)), ('except', (22, 23))]","[('our approach', (7, 9)), ('outperforms', (10, 11)), ('previous state - of - the - arts', (11, 19)), ('all datasets', (20, 22)), ('common subset', (24, 26)), ('full dataset of', (28, 31)), ('300W', (31, 32))]",[],[],[],[]
experiments,Runtime is evaluated on Nvidia GTX 1080 Ti graphics card with batch size of 1 .,"[('evaluated on', (2, 4)), ('with', (10, 11))]","[('Runtime', (0, 1)), ('Nvidia GTX 1080 Ti graphics card', (4, 10)), ('batch size of 1', (11, 15))]",[],[],[],[]
research-problem,Facial Landmarks Detection by Self - Iterative Regression based Landmarks - Attention Network,[],"[('Facial Landmarks Detection', (0, 3))]",[],[],[],[]
research-problem,"It aims to detect the facial landmarks such as eyes , nose and mouth , namely predicting the location parameters of landmarks .","[('aims to detect', (1, 4)), ('such as', (7, 9)), ('namely', (15, 16)), ('of', (20, 21))]","[('facial landmarks', (5, 7)), ('eyes , nose and mouth', (9, 14)), ('location parameters', (18, 20)), ('landmarks', (21, 22))]",[],[],[],[]
research-problem,Researchers usually regard this task as atypical non -linear least squares problem .,[],[],[],[],[],[]
model,( b ) Self - Iterative Regression . :,[],"[('Self - Iterative Regression', (3, 7))]",[],[],[],[]
model,"To predict the landmarks ' location parameters , the CR based methods require multiple regressors , while SIR just need one regressor and updates parameters iteratively .","[('To predict', (0, 2)), ('require', (12, 13)), ('need', (19, 20)), ('updates', (23, 24))]","[(""landmarks ' location parameters"", (3, 7)), ('CR based methods', (9, 12)), ('multiple regressors', (13, 15)), ('SIR', (17, 18)), ('one regressor', (20, 22)), ('parameters', (24, 25))]",[],[],[],[]
model,"In this paper , we develop a Self - Iterative Regression ( SIR ) framework to solve the above issues .","[('develop', (5, 6))]","[('Self - Iterative Regression ( SIR ) framework', (7, 15))]",[],[],[],[]
model,"The training data is obtained by random sampling in the parameter space , and in the test - ing process , parameters are updated iteratively by calling the same regressor , which is dubbed Self - Iterative Regression .","[('obtained by', (4, 6)), ('in', (8, 9)), ('in', (14, 15)), ('updated', (23, 24)), ('by calling', (25, 27)), ('which is', (31, 33))]","[('training data', (1, 3)), ('random sampling', (6, 8)), ('parameter space', (10, 12)), ('test - ing process', (16, 20)), ('parameters', (21, 22)), ('iteratively', (24, 25)), ('same regressor', (28, 30)), ('dubbed Self - Iterative Regression', (33, 38))]",[],[],[],[]
model,"Moreover , to obtain discriminative landmarks features , we proposed a Landmarks - Attention Network ( LAN ) , which focuses on the appearance around landmarks .","[('to obtain', (2, 4)), ('proposed', (9, 10)), ('focuses on', (20, 22))]","[('discriminative landmarks features', (4, 7)), ('Landmarks - Attention Network ( LAN )', (11, 18)), ('appearance around', (23, 25)), ('landmarks', (25, 26))]",[],[],[],[]
model,"It first concurrently extracts local landmarks ' features and then obtains the holistic increment , which significantly reduces the dimension of the final feature layer and the number of model parameters .","[('concurrently extracts', (2, 4)), ('obtains', (10, 11)), ('of', (20, 21))]","[(""local landmarks ' features"", (4, 8)), ('holistic increment', (12, 14)), ('significantly reduces', (16, 18)), ('final feature', (22, 24))]",[],[],[],[]
model,"2 . The Landmarks - Attention Network ( LAN ) is developed to independently learn discriminative features around each landmarks , which significantly reduces the dimension of feature layer and the number of model parameters .","[('developed to independently', (11, 14)), ('around', (17, 18))]","[('Landmarks - Attention Network ( LAN )', (3, 10)), ('discriminative features', (15, 17)), ('each landmarks', (18, 20))]",[],[],[],[]
experiments,"As illustrated in , SIR is more robust than CR because the former can cover more training space and is n't affected by the optimization path .","[('than', (8, 9))]","[('SIR', (4, 5)), ('more robust', (6, 8)), ('CR', (9, 10))]",[],[],[],[]
experiments,"Once one regressor predicts the false direction , the final result is prone to drift away ; ( b ) SIR Descent Direction Map : the training space of SIR includes distribution from coarse stages to fine stages and all descent directions are pointed to ground truth .","[('predicts', (3, 4)), ('prone to', (12, 14)), ('pointed to', (43, 45))]","[('one regressor', (1, 3)), ('false direction', (5, 7)), ('final result', (9, 11)), ('drift away', (14, 16)), ('SIR Descent Direction Map', (20, 24))]",[],[],[],[]
results,The NME results shows that SIR performs comparatively with RAR ) and outperform other existing methods .,"[('shows', (3, 4)), ('performs', (6, 7)), ('with', (8, 9))]","[('NME results', (1, 3)), ('SIR', (5, 6)), ('comparatively', (7, 8)), ('RAR', (9, 10)), ('outperform', (12, 13)), ('other existing methods', (13, 16))]",[],[],[],[]
results,Comparison with Cascaded Regression,[],[],[],[],[],[]
results,"Different from them , our method obtains state - of - the - art performance by iterative call the same regressor rather than adding anymore regressors .","[('obtains', (6, 7)), ('by iterative', (15, 17)), ('rather than adding', (21, 24))]","[('our method', (4, 6)), ('state - of - the - art performance', (7, 15)), ('same regressor', (19, 21)), ('anymore regressors', (24, 26))]",[],[],[],[]
research-problem,Look at Boundary : A Boundary - Aware Face Alignment Algorithm,[],[],[],[],[],[]
research-problem,We present a novel boundary - aware face alignment algorithm by utilising boundary lines as the geometric structure of a human face to help facial landmark localisation .,"[('present', (1, 2)), ('by utilising', (10, 12)), ('as', (14, 15)), ('of', (18, 19)), ('to help', (22, 24))]","[('novel', (3, 4)), ('boundary - aware face alignment algorithm', (4, 10)), ('boundary lines', (12, 14)), ('geometric structure', (16, 18)), ('human face', (20, 22)), ('facial landmark localisation', (24, 27))]",[],[],[],[]
research-problem,"By utilising boundary information of 300 - W dataset , our method achieves 3.92 % mean error with 0.39 % failure rate on COFW dataset , and 1.25 % mean error on AFLW - Full dataset .","[('utilising', (1, 2)), ('of', (4, 5)), ('achieves', (12, 13)), ('with', (17, 18)), ('on', (22, 23)), ('on', (31, 32))]","[('boundary information', (2, 4)), ('300 - W dataset', (5, 9)), ('our method', (10, 12)), ('3.92 % mean error', (13, 17)), ('0.39 % failure rate', (18, 22)), ('COFW dataset', (23, 25)), ('1.25 % mean error', (27, 31)), ('AFLW - Full dataset', (32, 36))]",[],[],[],[]
dataset,"In this work , we represent facial structure using 13 boundary lines .","[('represent', (5, 6)), ('using', (8, 9))]","[('facial structure', (6, 8)), ('13 boundary lines', (9, 12))]",[],[],[],[]
model,"Each facial boundary line can be interpolated from a sufficient number of facial landmarks across multiple datasets , which will not suffer from inconsistency of the annotation schemes .","[('interpolated from', (6, 8)), ('across', (14, 15)), ('of', (24, 25))]","[('Each facial boundary line', (0, 4)), ('sufficient number of facial landmarks', (9, 14)), ('multiple datasets', (15, 17)), ('inconsistency', (23, 24)), ('annotation schemes', (26, 28))]",[],[],[],[]
model,Our boundary - aware face alignment algorithm contains two stages .,"[('contains', (7, 8))]","[('boundary - aware face alignment algorithm', (1, 7)), ('two stages', (8, 10))]",[],[],[],[]
model,We first estimate facial boundary heatmaps and then regress landmarks with the help of boundary heatmaps .,"[('estimate', (2, 3)), ('with the help of', (10, 14))]","[('facial boundary heatmaps', (3, 6)), ('regress', (8, 9)), ('landmarks', (9, 10)), ('boundary heatmaps', (14, 16))]",[],[],[],[]
model,"To explore the relationship between facial boundaries and landmarks , we introduce adversarial learning ideas by using a landmark - based boundary effectiveness discriminator .","[('introduce', (11, 12)), ('by using', (15, 17))]","[('facial', (5, 6)), ('adversarial learning ideas', (12, 15)), ('landmark - based boundary effectiveness discriminator', (18, 24))]",[],[],[],[]
model,"The boundary heatmap estimator , landmark regressor , and boundary effectiveness discriminator can be jointly learned in an end - to - end manner .","[('can be', (12, 14)), ('in', (16, 17))]","[('boundary heatmap estimator', (1, 4)), ('landmark regressor', (5, 7)), ('boundary effectiveness discriminator', (9, 12)), ('jointly', (14, 15)), ('end - to - end manner', (18, 24))]",[],[],[],[]
model,"After generating facial boundary heatmaps , the next step is deriving facial landmarks using boundaries .","[('generating', (1, 2)), ('deriving', (10, 11)), ('using', (13, 14))]","[('facial boundary heatmaps', (2, 5)), ('next', (7, 8)), ('facial landmarks', (11, 13)), ('boundaries', (14, 15))]",[],[],[],[]
model,"To fully utilise the structure information , we apply boundary heatmaps at multiple stages in the landmark regression network .","[('To fully utilise', (0, 3)), ('apply', (8, 9)), ('at', (11, 12)), ('in', (14, 15))]","[('structure information', (4, 6)), ('boundary heatmaps', (9, 11)), ('multiple stages', (12, 14)), ('landmark regression network', (16, 19))]",[],[],[],[]
dataset,Each image is annotated with 98 landmarks and 6 attributes .,"[('annotated with', (3, 5))]","[('Each image', (0, 2)), ('98 landmarks', (5, 7)), ('6 attributes', (8, 10))]",[],[],[],[]
tasks,AFLW dataset : AFLW contains 24386 in - the - wild faces with large head pose up to 120 for yaw and 90 for pitch and roll .,"[('contains', (4, 5)), ('with', (12, 13)), ('up to', (16, 18)), ('for', (19, 20))]","[('AFLW dataset', (0, 2)), ('24386 in - the - wild faces', (5, 12)), ('large head pose', (13, 16)), ('120', (18, 19)), ('yaw', (20, 21)), ('90', (22, 23)), ('pitch and roll', (24, 27))]",[],[],[],[]
experimental-setup,All our models are trained with Caffe [ 24 ] on 4 Titan X GPUs .,"[('trained with', (4, 6)), ('on', (10, 11))]","[('Caffe [ 24 ]', (6, 10)), ('4 Titan X GPUs', (11, 15))]",[],[],[],[]
results,Our method performs best among all of the state - of - the - art methods .,"[('performs', (2, 3)), ('among', (4, 5))]","[('Our method', (0, 2)), ('best', (3, 4)), ('all of the state - of - the - art methods', (5, 16))]",[],[],[],[]
results,shows the CED curves of our method against state - of - the - art methods on the COFW - 68 dataset .,"[('shows', (0, 1)), ('of', (4, 5)), ('against', (7, 8)), ('on', (16, 17))]","[('CED curves', (2, 4)), ('our', (5, 6)), ('state - of - the - art methods', (8, 16)), ('COFW - 68 dataset', (18, 22))]",[],[],[],[]
results,Our model outperforms previous results with a large margin .,"[('with', (5, 6))]","[('Our model', (0, 2)), ('outperforms', (2, 3)), ('previous results', (3, 5)), ('large margin', (7, 9))]",[],[],[],[]
results,We achieve 4.62 % mean error with 2.17 % failure rate .,"[('achieve', (1, 2)), ('with', (6, 7))]","[('4.62 % mean error', (2, 6)), ('2.17 % failure rate', (7, 11))]",[],[],[],[]
results,"The failure rate is significantly reduced by 3.75 % , which indicates the robustness of our method to handle occlusions .","[('is', (3, 4)), ('by', (6, 7))]","[('failure rate', (1, 3)), ('significantly reduced', (4, 6)), ('3.75 %', (7, 9))]",[],[],[],[]
results,There is a clear boost between our method without and with using boundary information .,"[('between', (5, 6)), ('without and with using', (8, 12))]","[('clear boost', (3, 5)), ('our method', (6, 8)), ('boundary information', (12, 14))]",[],[],[],[]
results,"Moreover , our method uses boundary information achieves 29 % , 32 % and 29 % relative performance improve- ment over the baseline method ( "" LAB without boundary "" ) on COFW - 29 , AFLW - Full and AFLW - Frontal respectively .","[('uses', (4, 5)), ('achieves', (7, 8)), ('over', (20, 21)), ('on', (31, 32))]","[('our method', (2, 4)), ('boundary information', (5, 7)), ('29 % , 32 % and 29 % relative performance improve- ment', (8, 20)), ('baseline method ( "" LAB without boundary', (22, 29)), ('COFW - 29', (32, 35)), ('AFLW - Full', (36, 39)), ('AFLW - Frontal', (40, 43))]",[],[],[],[]
ablation-analysis,"Our framework consists of several pivotal components , i.e. , boundary information fusion , message passing and adversarial learning .","[('consists of', (2, 4)), ('i.e.', (8, 9))]","[('Our', (0, 1)), ('several pivotal components', (4, 7)), ('boundary information fusion', (10, 13)), ('message passing', (14, 16)), ('adversarial learning', (17, 19))]",[],[],[],[]
ablation-analysis,"As indicated in , our final model that fuses boundary information in all four levels improves mean error from 7.12 % to 6.13 % .","[('fuses', (8, 9)), ('in', (11, 12)), ('improves', (15, 16)), ('from', (18, 19)), ('to', (21, 22))]","[('our final model', (4, 7)), ('boundary information', (9, 11)), ('all four levels', (12, 15)), ('mean error', (16, 18)), ('7.12 %', (19, 21)), ('6.13 %', (22, 24))]",[],[],[],[]
model,"In this paper , we present a novel use of facial boundary to derive facial landmarks .","[('present', (5, 6)), ('of', (9, 10)), ('to derive', (12, 14))]","[('novel use', (7, 9)), ('facial boundary', (10, 12)), ('facial landmarks', (14, 16))]",[],[],[],[]
model,The runtime of our algorithm is 60 ms on TITAN X GPU .,"[('of', (2, 3)), ('is', (5, 6)), ('on', (8, 9))]","[('runtime', (1, 2)), ('our algorithm', (3, 5)), ('60 ms', (6, 8)), ('TITAN X GPU', (9, 12))]",[],[],[],[]
research-problem,Face Alignment using a 3D Deeply - initialized Ensemble of Regression Trees,[],"[('Face Alignment', (0, 2))]",[],[],[],[]
research-problem,"In this paper we present 3DDE , a robust and efficient face alignment algorithm based on a coarse - to - fine cascade of ensembles of regression trees .","[('present', (4, 5)), ('based on', (14, 16)), ('of', (23, 24)), ('of', (25, 26))]","[('3DDE', (5, 6)), ('robust', (8, 9)), ('coarse - to - fine cascade', (17, 23)), ('ensembles', (24, 25)), ('regression trees', (26, 28))]",[],[],[],[]
research-problem,"In the experiments performed , 3 DDE improves the state - of - the - art in 300W , COFW , AFLW and WFLW data sets .","[('improves', (7, 8)), ('in', (16, 17))]","[('3 DDE', (5, 7)), ('state - of - the - art', (9, 16)), ('300W , COFW , AFLW and WFLW data sets', (17, 26))]",[],[],[],[]
model,"In this paper we present the 3 DDE ( 3D Deeply - initialized Ensemble ) regressor , a robust and efficient face alignment algorithm based on a coarse - to - fine cascade of ERTs .","[('present', (4, 5)), ('based on', (24, 26)), ('of', (33, 34))]","[('3 DDE ( 3D Deeply - initialized Ensemble ) regressor', (6, 16)), ('robust and efficient face alignment algorithm', (18, 24)), ('coarse - to - fine cascade', (27, 33))]",[],[],[],[]
model,"It is a hybrid approach that inherits good properties of ERT , such as the ability to impose a face shape prior , and the robustness of deep models .","[('is', (1, 2)), ('inherits', (6, 7)), ('of', (9, 10)), ('such as', (12, 14))]","[('hybrid approach', (3, 5)), ('good properties', (7, 9)), ('ERT', (10, 11)), ('ability', (15, 16)), ('face shape', (19, 21)), ('robustness of', (25, 27)), ('deep models', (27, 29))]",[],[],[],[]
model,It is initialized by robustly fitting a 3 D face model to the probability maps produced by a CNN .,"[('initialized by', (2, 4)), ('to', (11, 12)), ('produced by', (15, 17))]","[('robustly fitting', (4, 6)), ('3 D face model', (7, 11)), ('probability maps', (13, 15)), ('CNN', (18, 19))]",[],[],[],[]
model,"With this initialization we tackle one of the main drawbacks of ERT , namely the difficulty in initializing the regressor in the presence of occlusions and large face rotations .","[('tackle', (4, 5)), ('of', (10, 11)), ('in the presence of', (20, 24))]","[('ERT', (11, 12)), ('difficulty', (15, 16)), ('initializing', (17, 18)), ('regressor', (19, 20)), ('occlusions and large face rotations', (24, 29))]",[],[],[],[]
model,"On the other hand , the ERT implicitly imposes a prior face shape on the solution , addressing the shortcomings of deep models when occlusions and ambiguous face configurations are present .","[('imposes', (8, 9)), ('on', (13, 14)), ('addressing', (17, 18)), ('of', (20, 21)), ('when', (23, 24)), ('are', (29, 30))]","[('ERT', (6, 7)), ('prior face shape', (10, 13)), ('solution', (15, 16)), ('shortcomings', (19, 20)), ('deep models', (21, 23)), ('occlusions and ambiguous face configurations', (24, 29)), ('present', (30, 31))]",[],[],[],[]
model,"Finally , its coarse - to - fine structure tackles the combinatorial explosion of parts deformation , which is also a key limitation of approaches using shape constraints .","[('tackles', (9, 10)), ('of', (13, 14)), ('of', (23, 24)), ('using', (25, 26))]","[('coarse - to - fine structure', (3, 9)), ('combinatorial explosion', (11, 13)), ('parts deformation', (14, 16)), ('key limitation', (21, 23)), ('approaches', (24, 25)), ('shape constraints', (26, 28))]",[],[],[],[]
model,First we improve the initialization by using a RANSAC - like procedure that increases its robustness in the presence of occlusions .,"[('improve', (2, 3)), ('by using', (5, 7)), ('in the presence of', (16, 20))]","[('initialization', (4, 5)), ('RANSAC - like procedure', (8, 12)), ('robustness', (15, 16)), ('occlusions', (20, 21))]",[],[],[],[]
experimental-setup,"For each data set , we train from scratch the CNN selecting the model parameters with lowest validation error .","[('For', (0, 1)), ('train from', (6, 8)), ('selecting', (11, 12)), ('with', (15, 16))]","[('each data set', (1, 4)), ('CNN', (10, 11)), ('model parameters', (13, 15)), ('lowest validation error', (16, 19))]",[],[],[],[]
experimental-setup,We crop faces using the ground truth bounding boxes annotations enlarged by 30 % .,"[('crop', (1, 2)), ('using', (3, 4)), ('enlarged by', (10, 12))]","[('faces', (2, 3)), ('ground truth bounding boxes annotations', (5, 10)), ('30 %', (12, 14))]",[],[],[],[]
experimental-setup,"We generate different training samples in each epoch by applying random in plane rotations between 45 , scale changes by 15 % and translations by 5 % of bounding box size , randomly mirroring images horizontally and generating random rectangular occlusions .","[('generate', (1, 2)), ('in', (5, 6)), ('by applying', (8, 10)), ('in', (11, 12)), ('between', (14, 15)), ('by', (19, 20)), ('by', (24, 25)), ('of', (27, 28)), ('randomly mirroring', (32, 34)), ('generating', (37, 38))]","[('different training samples', (2, 5)), ('each epoch', (6, 8)), ('random', (10, 11)), ('plane rotations', (12, 14)), ('45', (15, 16)), ('scale changes', (17, 19)), ('15 %', (20, 22)), ('translations', (23, 24)), ('5 %', (25, 27)), ('bounding box size', (28, 31)), ('images', (34, 35)), ('horizontally', (35, 36)), ('random rectangular occlusions', (38, 41))]",[],[],[],[]
experimental-setup,"We use Adam stochastic optimization with ? 1 = 0.9 , ? 2 = 0.999 and = 1 e ? 8 parameters .","[('use', (1, 2)), ('with', (5, 6))]","[('Adam stochastic optimization', (2, 5)), ('? 1 = 0.9 , ? 2 = 0.999 and = 1 e ? 8 parameters', (6, 22))]",[],[],[],[]
experimental-setup,We train until convergence with an initial learning rate ? = 0.001 .,"[('train', (1, 2)), ('until', (2, 3)), ('with', (4, 5))]","[('convergence', (3, 4)), ('initial learning rate ? = 0.001', (6, 12))]",[],[],[],[]
experimental-setup,"When validation error levels out for 10 epochs , we multiply the learning rate by decay = 0.05 .","[('levels', (3, 4)), ('multiply', (10, 11)), ('by', (14, 15)), ('=', (16, 17))]","[('validation error', (1, 3)), ('out', (4, 5)), ('10 epochs', (6, 8)), ('learning rate', (12, 14)), ('decay', (15, 16)), ('0.05', (17, 18))]",[],[],[],[]
experimental-setup,In the CNN the cropped input face is reduced from 160160 to 11 pixels gradually dividing by half their size across B = 8 branches applying astride 2 convolution with kernel size 22 1 .,"[('In', (0, 1)), ('reduced from', (8, 10)), ('to', (11, 12)), ('gradually dividing by', (14, 17)), ('across', (20, 21)), ('applying', (25, 26)), ('with', (29, 30))]","[('CNN', (2, 3)), ('cropped input face', (4, 7)), ('160160', (10, 11)), ('half their size', (17, 20)), ('B = 8 branches', (21, 25)), ('astride 2 convolution', (26, 29)), ('kernel', (30, 31))]",[],[],[],[]
experimental-setup,We apply batch normalization after each convolution .,"[('apply', (1, 2)), ('after', (4, 5))]","[('batch normalization', (2, 4)), ('each convolution', (5, 7))]",[],[],[],[]
experimental-setup,"We apply a Gaussian filter with ? = 33 to the output probability maps to stabilize the initialization , g 0 .","[('apply', (1, 2)), ('with', (5, 6)), ('to', (9, 10)), ('to stabilize', (14, 16))]","[('Gaussian filter', (3, 5)), ('? = 33', (6, 9)), ('output probability maps', (11, 14)), ('initialization', (17, 18))]",[],[],[],[]
experimental-setup,The depth of trees is set to 4 .,"[('set to', (5, 7))]","[('depth of', (1, 3)), ('trees', (3, 4)), ('4', (7, 8))]",[],[],[],[]
experimental-setup,"The number of tests to choose the best split parameters , ? , is set to 200 .","[('to choose', (4, 6)), ('set to', (14, 16))]","[('number of tests', (1, 4)), ('best split parameters', (7, 10)), ('200', (16, 17))]",[],[],[],[]
experimental-setup,We resize each image to set the face size to 160160 pixels .,"[('resize', (1, 2)), ('to set', (4, 6)), ('to', (9, 10))]","[('each image', (2, 4)), ('face size', (7, 9)), ('160160 pixels', (10, 12))]",[],[],[],[]
experimental-setup,"For feature extraction , the FREAK pattern diameter is reduced gradually in each stage ( i.e. , in the last stages the pixel pairs for each feature are closer ) .","[('For', (0, 1)), ('reduced', (9, 10)), ('in', (11, 12))]","[('feature extraction', (1, 3)), ('FREAK pattern diameter', (5, 8)), ('gradually', (10, 11)), ('each stage', (12, 14))]",[],[],[],[]
experimental-setup,We generate Z = 25 initializations in the robust soft POSIT scheme of g 0 .,"[('generate', (1, 2)), ('in', (6, 7)), ('of', (12, 13))]","[('Z = 25 initializations', (2, 6)), ('robust soft POSIT scheme', (8, 12)), ('g 0', (13, 15))]",[],[],[],[]
experimental-setup,To avoid overfitting we use a shrinkage factor ? = 0.1 and subsampling factor ? = 0.5 in the ERT .,"[('To avoid', (0, 2)), ('use', (4, 5)), ('in', (17, 18))]","[('overfitting', (2, 3)), ('shrinkage factor ? = 0.1', (6, 11)), ('subsampling factor ? = 0.5', (12, 17)), ('ERT', (19, 20))]",[],[],[],[]
experimental-setup,"Training the CNN and the coarse - to - fine ensemble of trees takes 48 hours using a NVidia GeForce GTX 1080 Ti ( 11 GB ) GPU and an dual Intel Xeon Silver 4114 CPU at 2.20 GHz ( 210 cores / 20 threads , 128 GB of RAM ) with a batch size of 32 images .","[('takes', (13, 14)), ('using', (16, 17)), ('at', (36, 37)), ('with', (51, 52))]","[('Training', (0, 1)), ('CNN and the coarse - to - fine ensemble of trees', (2, 13)), ('48 hours', (14, 16)), ('NVidia GeForce GTX 1080 Ti ( 11 GB ) GPU', (18, 28)), ('dual Intel Xeon Silver 4114 CPU', (30, 36)), ('2.20 GHz', (37, 39)), ('batch size', (53, 55)), ('32', (56, 57))]",[],[],[],[]
baselines,"The selected algorithms are representative of the three main families of solutions : a ) ensembles of regression trees ( c GPRT , RCPR , ERT ) , b) CNN - based approaches ( LAB , DAN , RCN ) and c ) mixed approaches with deep nets and ensembles of regression trees ( 3DDE , DCFE ) .","[('representative of', (4, 6)), ('with', (45, 46))]","[('three main families of solutions', (7, 12)), ('ensembles of regression trees', (15, 19)), ('CNN - based approaches (', (29, 34)), ('LAB , DAN , RCN', (34, 39)), ('mixed approaches', (43, 45)), ('deep nets and ensembles of regression trees', (46, 53)), ('3DDE', (54, 55))]",[],[],[],[]
results,"Overall , 3 DDE is better than any other providing a public implementation in the literature .","[('is', (4, 5)), ('than', (6, 7)), ('providing', (9, 10))]","[('3 DDE', (2, 4)), ('better', (5, 6)), ('any', (7, 8)), ('public implementation', (11, 13))]",[],[],[],[]
